countryterritoryCode,continentExp,countriesAndTerritories,dateRep,total_cases,cases,new_cases_smoothed,total_deaths,deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,popData2019,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
VNM,Asia,Vietnam,2021-01-01,1474,9,5,35,0,0,15,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,55,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-02,1482,8,6,35,0,0,15,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,55,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-03,1494,12,8,35,0,0,15,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,55,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-04,1497,3,7,35,0,0,15,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,55,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-05,1504,7,7,35,0,0,15,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-06,1505,1,7,35,0,0,15,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-07,1509,4,6,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-08,1512,3,5,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-09,1513,1,4,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-10,1514,1,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-11,1515,1,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-12,1520,5,2,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-13,1521,1,2,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-14,1531,10,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-15,1536,5,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-16,1537,1,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-17,1537,0,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-18,1539,2,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-19,1540,1,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-20,1544,4,3,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-21,1546,2,2,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-22,1548,2,2,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-23,1548,0,2,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-24,1548,0,2,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-25,1549,1,1,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,56,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-26,1551,2,2,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-27,1553,2,1,35,0,0,16,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-28,1651,98,15,35,0,0,17,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-29,1657,6,16,35,0,0,17,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-30,1767,110,31,35,0,0,18,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-01-31,1817,50,38,35,0,0,19,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-01,1850,33,43,35,0,0,19,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,68,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-02,1882,32,47,35,0,0,19,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-03,1948,66,56,35,0,0,20,1,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-04,1957,9,44,35,0,0,20,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-05,1976,19,46,35,0,0,20,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-06,1985,9,31,35,0,0,20,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-07,2001,16,26,35,0,0,21,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-08,2050,49,29,35,0,0,21,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-09,2064,14,26,35,0,0,21,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-10,2091,27,20,35,0,0,21,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-11,2140,49,26,35,0,0,22,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-12,2142,2,24,35,0,0,22,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-13,2195,53,30,35,0,0,23,1,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-14,2228,33,32,35,0,0,23,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-15,2269,41,31,35,0,0,23,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,77,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-16,2311,42,35,35,0,0,24,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-17,2329,18,34,35,0,0,24,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-18,2347,18,30,35,0,0,24,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-19,2362,15,31,35,0,0,24,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-20,2368,6,25,35,0,0,24,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-21,2383,15,22,35,0,0,24,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-22,2392,9,18,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-23,2403,11,13,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-24,2412,9,12,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-25,2421,9,11,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-26,2426,5,9,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-27,2432,6,9,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-02-28,2448,16,9,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-01,2448,0,8,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,65,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-02,2475,27,10,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-03,2482,7,10,35,0,0,25,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-04,2488,6,10,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-05,2494,6,10,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-06,2501,7,10,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-07,2512,11,9,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,0,0,,,,0,0,,,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-08,2524,12,11,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,377,377,,377,377,0,0,,4,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-09,2526,2,7,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,522,522,,145,261,0,0,,3,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-10,2529,3,7,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,955,955,,433,318,0,0,,3,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-11,2533,4,6,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,1585,1585,,630,396,0,0,,4,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-12,2550,17,8,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,5248,5248,,3663,1050,0,0,,11,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-13,2553,3,7,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,10041,10041,,4793,1674,0,0,,17,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-14,2554,1,6,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,11605,11605,,1564,1658,0,0,,17,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-15,2557,3,5,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,2482302,26,,,,,,samples tested,15865,15865,,4260,2213,0,0,,23,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-16,2560,3,5,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,20695,20695,,4830,2882,0,0,,30,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-17,2567,7,5,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,24054,24054,,3359,3300,0,0,,34,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-18,2570,3,5,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,27546,27546,,3492,3709,0,0,,38,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-19,2571,1,3,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,30971,30971,,3425,3675,0,0,,38,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-20,2572,1,3,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,32361,32361,,1390,3189,0,0,,33,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-21,2572,0,3,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,33891,33891,,1530,3184,0,0,,33,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-22,2575,3,3,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,36082,36082,,2191,2888,0,0,,30,63,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-23,2575,0,2,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,37911,37911,,1829,2459,0,0,,25,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-24,2576,1,1,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,39817,39817,,1906,2252,0,0,,23,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-25,2579,3,1,35,0,0,26,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,42225,42225,,2408,2097,0,0,,22,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-26,2586,7,2,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,44000,44000,,1775,1861,0,0,,19,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-27,2586,0,2,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,44278,44278,,278,1702,0,0,,17,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-28,2591,5,3,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,45140,45140,,862,1607,0,0,,17,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-29,2594,3,3,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,46416,46416,,1276,1476,0,0,,15,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-30,2594,0,3,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,48256,48256,,1840,1478,0,0,,15,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-03-31,2603,9,4,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,49743,49743,,1487,1418,0,0,,15,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-04-01,2617,14,5,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,51216,51216,,1473,1284,0,0,,13,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-04-02,2620,3,5,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,52091,52091,,875,1156,0,0,,12,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-04-03,2626,6,6,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,52335,52335,,244,1151,0,0,,12,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-04-04,2631,5,6,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,52413,52413,,78,1039,0,0,,11,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-04-05,2637,6,6,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,52868,52868,,455,922,0,0,,9,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
VNM,Asia,Vietnam,2021-04-06,2648,11,8,35,0,0,27,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,53953,53953,,1085,814,0,0,,8,57,97338583,308,33,7,5,6172,2,245,6,1,46,86,3,75,1,
